region;inst_name;inst_type;province;location;designation
03 - Central Luzon;Sacred Heart Academy of Sta. Maria Bulacan;Private;Bulacan;Santa Maria;Municipality
03 - Central Luzon;Don Honorio Ventura State University - Apalit;SUC;Pampanga;Apalit;Municipality
03 - Central Luzon;Don Honorio Ventura State University - Candaba;SUC;Pampanga;Candaba;Municipality
03 - Central Luzon;Marymount Professional Colleges;Private;Bulacan;City of Meycauayan;City
03 - Central Luzon;Gapan City College;LUC;Nueva Ecija;City of Gapan;City
03 - Central Luzon;University of the Philippines- Manila School of Health Sciences Extension Campus-Baler;SUC;Aurora;Baler;Municipality
03 - Central Luzon;University of the Philippines- Manila School of Health Sciences Extension Campus-Tarlac;SUC;Tarlac;Tarlac City;Municipality
03 - Central Luzon;West Central College of Arts and Sciences;Private;Pampanga;Floridablanca;Municipality
03 - Central Luzon;Asia Pacific College of Business and Arts Inc.;Private;Nueva Ecija;Rizal;Municipality
03 - Central Luzon;Asian Institute of Science and Technology-Baliuag;Private;Bulacan;City of Baliwag;City
03 - Central Luzon;NU Clark;Private;Pampanga;Mabalacat City;Municipality
03 - Central Luzon;Aurora State College of Technology;SUC;Aurora;Baler;Municipality
03 - Central Luzon;Aurora State College of Technology-Bazal;SUC;Aurora;Maria Aurora;Municipality
03 - Central Luzon;Aurora State College of Techonolgy-Casiguran;SUC;Aurora;Casiguran;Municipality
03 - Central Luzon;Mount Carmel College-Baler;Private;Aurora;Baler;Municipality
03 - Central Luzon;Wesleyan University-Philippines-Aurora;Private;Aurora;Maria Aurora;Municipality
03 - Central Luzon;Philippine Merchant Marine Academy;SUC;Zambales;San Narciso;Municipality
03 - Central Luzon;Polytechnic University of The Philippines-Pulilan;SUC;Bulacan;Pulilan;Municipality
03 - Central Luzon;Polytechnic University of the Philippines-Sta. Maria Bulacan;SUC;Bulacan;Santa Maria;Municipality
03 - Central Luzon;Polytechnic University of the Philippines-Cabiao;SUC;Nueva Ecija;Cabiao;Municipality
03 - Central Luzon;University of the Philippines-Diliman (Pampanga);SUC;Pampanga;Mabalacat City;Municipality
03 - Central Luzon;University of the Philippines-Diliman (Olongapo City);SUC;Zambales;Olongapo City;Municipality
03 - Central Luzon;STI College - San Jose del Monte;Private;Bulacan;City of San Jose Del Monte;City
